"","COSECHA","SITUACION_AMORTIZACION","REGIMEN","IN_CEDIDA","N","SALDO_TOTAL","EPRC_TOTAL","EPRE_TOTAL","RKP_TOTAL","COBERTURA_CEK"
"1",1973,"B. Sin pago","ROA","Propia",1,288.23251,0,0,0,0
"2",1974,"B. Sin pago","REA","Propia",5,23748.64351794,0,0,0,0
"3",1975,"B. Sin pago","REA","Propia",7,25483.45820196,0,0,0,0
"4",1975,"B. Sin pago","ROA","Propia",2,8467.98737106,0,0,0,0
"5",1976,"B. Sin pago","REA","Propia",43,174651.51357293,0,0,0,0
"6",1976,"B. Sin pago","ROA","Propia",11,48183.16174754,0,0,0,0
"7",1976,"D. Amortización parcial","ROA","Propia",1,1206.79308333,0,0,0,0
"8",1977,"B. Sin pago","REA","Propia",47,219158.13192996,0,0,0,0
"9",1977,"B. Sin pago","ROA","Propia",8,36417.20010044,0,0,0,0
"10",1978,"B. Sin pago","REA","Propia",29,978773.11566966,0,0,0,0
"11",1978,"B. Sin pago","ROA","Propia",8,36956.30059707,0,0,0,0
"12",1979,"B. Sin pago","REA","Propia",4,113764.03631,0,0,0,0
"13",1979,"B. Sin pago","ROA","Propia",6,24687.85300933,0,0,0,0
"14",1980,"B. Sin pago","REA","Propia",19,89719.77484896,0,0,0,0
"15",1980,"B. Sin pago","ROA","Propia",5,17835.07129628,0,0,0,0
"16",1981,"B. Sin pago","REA","Propia",12,74189.34190957,0,0,0,0
"17",1981,"B. Sin pago","ROA","Propia",7,27612.82840378,0,0,0,0
"18",1982,"B. Sin pago","REA","Propia",22,115956.76701302,0,0,0,0
"19",1982,"B. Sin pago","ROA","Propia",8,29513.83444564,0,0,0,0
"20",1983,"A. Segregada","ROA","Bursatilizada",3,18493.12808237,0,0,0,0
"21",1983,"B. Sin pago","REA","Propia",2,9485.04481,6357.47,6.27,269.35,69.9320892296343
"22",1983,"B. Sin pago","ROA","Propia",1,1568.40666658,0,0,0,0
"23",1983,"C. Pago insuficiente","ROA","Propia",1,3510.83170988,2766.81,0,0,78.8078218677867
"24",1984,"A. Segregada","REA","Bursatilizada",1,4763.96771156,0,0,0,0
"25",1984,"A. Segregada","ROA","Bursatilizada",1,862.35862827,0,0,0,0
"26",1984,"B. Sin pago","REA","Propia",3,1185.03035393,160.73,0,26.87,15.8308181202151
"27",1984,"B. Sin pago","ROA","Propia",3,13283.2810411,7243.64,0,0,54.5320089034279
"28",1985,"A. Segregada","REA","Bursatilizada",3,13099.30160507,0,0,0,0
"29",1985,"A. Segregada","ROA","Bursatilizada",2,16844.39913163,0,0,0,0
"30",1985,"B. Sin pago","REA","Propia",5,19673.96553477,6315.41,0,3.15,32.1163518805253
"31",1985,"B. Sin pago","ROA","Propia",6,25463.95370589,7309.21,0,0,28.7041442362869
"32",1985,"D. Amortización parcial","ROA","Propia",1,199444.15325683,5686.11,173529.96,2496.78,91.1096399832805
"33",1985,"E. Amortización plena","ROA","Propia",1,2602.97179999,803.54,0,67.15,33.4498437517973
"34",1986,"A. Segregada","REA","Bursatilizada",5,19859.66666653,0,0,0,0
"35",1986,"A. Segregada","ROA","Bursatilizada",3,7449.93735845,0,0,0,0
"36",1986,"B. Sin pago","REA","Propia",7,16113.13890758,6295.28,0,0.32,39.0712203010824
"37",1986,"B. Sin pago","ROA","Propia",9,27960.48922704,5249.71,0,107.52,19.160000944544
"38",1986,"E. Amortización plena","ROA","Propia",1,950.59535373,19.06,0,42.16,6.44017454532904
"39",1987,"A. Segregada","REA","Bursatilizada",20,1500967.17247426,0,0,0,0
"40",1987,"A. Segregada","ROA","Bursatilizada",3,10459.23759478,0,0,0,0
"41",1987,"B. Sin pago","REA","Propia",21,124039.97505994,85163.22,0,97.51,68.7364939881674
"42",1987,"B. Sin pago","ROA","Propia",15,183123.12617932,109766.57,7.01,15.74,59.9538257622857
"43",1987,"D. Amortización parcial","REA","Propia",3,147203.29777244,26287.14,66047.41,7923.79,68.1087594620253
"44",1987,"D. Amortización parcial","ROA","Propia",1,2306.78677917,0,0,0,0
"45",1987,"E. Amortización plena","REA","Propia",1,3105.26402384,0,0,0,0
"46",1987,"E. Amortización plena","ROA","Propia",4,63960.24011659,17698.24,0,3903.92,33.7743572579191
"47",1988,"A. Segregada","REA","Bursatilizada",45,3094025.61714164,0,0,0,0
"48",1988,"A. Segregada","ROA","Bursatilizada",11,227309.56541048,0,0,0,0
"49",1988,"B. Sin pago","REA","Propia",19,734360.33166625,370867.03,0.01,1698.87,50.7333925778173
"50",1988,"B. Sin pago","ROA","Propia",31,719302.10662434,300772.74,0,10662.74,43.2968953005791
"51",1988,"C. Pago insuficiente","ROA","Propia",1,22700.22600464,14881.22,0,0,65.5553825629676
"52",1988,"D. Amortización parcial","REA","Propia",2,143187.81027782,35198.67,42860.87,6163.4,58.8199092063679
"53",1988,"D. Amortización parcial","ROA","Propia",3,204529.28336175,15396.48,111825.63,14255.64,69.1723687066213
"54",1988,"E. Amortización plena","REA","Propia",1,3874.37619469,213.8,0,369.02,15.0429377714735
"55",1988,"E. Amortización plena","ROA","Propia",11,331650.60138561,13897.72,0,26034.84,12.0405510598096
"56",1989,"A. Segregada","REA","Bursatilizada",163,170018173.916784,0,0,0,0
"57",1989,"A. Segregada","ROA","Bursatilizada",29,9743104.45195472,0,0,0,0
"58",1989,"B. Sin pago","REA","Propia",53,23691492.8417116,8863535.93,4845.67,367023,38.9819445389275
"59",1989,"B. Sin pago","ROA","Propia",48,22438500.6651657,9800463.68,16569.69,193818.06,44.6146183267102
"60",1989,"C. Pago insuficiente","REA","Propia",1,1450906.46624594,332452.29,599187.93,88045.67,70.2792298278417
"61",1989,"C. Pago insuficiente","ROA","Propia",38,57607646.8484299,3962522.25,42936336.68,3927375.16,88.2282767489665
"62",1989,"D. Amortización parcial","REA","Propia",6,3729555.97710415,547502.5,2267475.47,264909.6,82.5805428020793
"63",1989,"D. Amortización parcial","ROA","Propia",48,20266221.1749306,1078957.15,13589496.97,1451799.12,79.5424716865362
"64",1989,"E. Amortización plena","REA","Propia",1,32661.57461724,14439.62,0,2413.48,51.599165678633
"65",1989,"E. Amortización plena","ROA","Propia",23,1888558.17965625,65309.14,94036.19,134780.78,15.5741090302834
"66",1990,"A. Segregada","REA","Bursatilizada",341,124718634.610849,0,0,0,0
"67",1990,"A. Segregada","ROA","Bursatilizada",13,3750505.32496124,0,0,0,0
"68",1990,"B. Sin pago","REA","Propia",218,53219070.3657143,27136401.66,1002104.29,521094.21,53.8521247422307
"69",1990,"B. Sin pago","ROA","Propia",82,25783189.9079245,13519891.67,2169.77,142098.58,52.9963905505746
"70",1990,"C. Pago insuficiente","REA","Propia",9,2814423.67646675,306924.25,1825492.46,161945.41,81.5215612057514
"71",1990,"C. Pago insuficiente","ROA","Propia",66,26522571.6798024,2910196.85,16663825.77,1688931.68,80.1692782913367
"72",1990,"D. Amortización parcial","REA","Propia",25,7327908.02084124,712993.36,2632408.91,453732.99,51.8447454470623
"73",1990,"D. Amortización parcial","ROA","Propia",125,29596922.097668,2095772.4,13676501.93,1850987.53,59.5442384239967
"74",1990,"E. Amortización plena","REA","Propia",15,1445584.73170442,80862.31,82748.73,89373.75,17.500516189163
"75",1990,"E. Amortización plena","ROA","Propia",121,9944973.34009837,235424.86,399620.61,643526.88,12.8564683511495
"76",1991,"A. Segregada","REA","Bursatilizada",630,183377544.81497,0,0,0,0
"77",1991,"A. Segregada","ROA","Bursatilizada",12,3622608.33116737,0,0,0,0
"78",1991,"B. Sin pago","REA","Propia",126,29900159.5554154,13343759.29,67908.99,807205.74,47.5545088434979
"79",1991,"B. Sin pago","ROA","Propia",21,5256168.28751267,2410553.72,7017.29,110562.48,48.098412221812
"80",1991,"C. Pago insuficiente","REA","Propia",10,2857085.07898797,434188.32,1761434.51,182106.68,83.2222157991261
"81",1991,"C. Pago insuficiente","ROA","Propia",52,15274350.0140491,1575340.9,9250549.34,994250.87,77.3855587905738
"82",1991,"D. Amortización parcial","REA","Propia",26,6022091.30462033,583813,2804459.4,428980.72,63.3874999050793
"83",1991,"D. Amortización parcial","ROA","Propia",137,25435897.261796,1438294.76,11028995.4,1708562.71,55.7316800115077
"84",1991,"E. Amortización plena","REA","Propia",16,1296355.43691239,76431.22,76142.31,107729.88,20.079632683146
"85",1991,"E. Amortización plena","ROA","Propia",176,10317761.5368039,529390.23,287014.74,740314.94,15.0877678694852
"86",1992,"A. Segregada","REA","Bursatilizada",641,177197196.983268,0,0,0,0
"87",1992,"A. Segregada","ROA","Bursatilizada",9,1696725.90352611,0,0,0,0
"88",1992,"B. Sin pago","REA","Propia",115,27810113.6151515,12531601.75,1009437.1,752141.53,51.3956202329673
"89",1992,"B. Sin pago","ROA","Propia",31,4984186.67888067,2157045.64,164855.04,103099.42,48.65387787892
"90",1992,"C. Pago insuficiente","REA","Propia",3,691511.59643775,61780.17,439172.34,48168.46,79.4087868994156
"91",1992,"C. Pago insuficiente","ROA","Propia",47,11688530.3002598,1005705.15,7563522.63,836076.35,80.4660970061475
"92",1992,"D. Amortización parcial","REA","Propia",23,4275624.82507278,404134.86,1976367.08,309678.98,62.9190125434873
"93",1992,"D. Amortización parcial","ROA","Propia",78,12999469.8145401,869076.54,5227673.63,925352.94,54.0183808276988
"94",1992,"E. Amortización plena","REA","Propia",27,2026987.99910214,247705.4,129544.45,154139.49,26.2157121914575
"95",1992,"E. Amortización plena","ROA","Propia",138,8995545.22259615,494549.9,244856.35,736122.04,16.4028777965963
"96",1993,"A. Segregada","REA","Bursatilizada",3427,1083330988.95428,0,0,0,0
"97",1993,"A. Segregada","ROA","Bursatilizada",221,48981012.1935247,0,0,0,0
"98",1993,"B. Sin pago","REA","Propia",770,276699393.550006,122043960.86,3176791.19,2079789.18,46.0068016762724
"99",1993,"B. Sin pago","ROA","Propia",297,81309769.3723923,34971404.98,379752.49,850964.1,44.5237046537387
