"","COSECHA","SITUACION_AMORTIZACION","REGIMEN","IN_CEDIDA","cRS","cRP","N","SALDO_TOTAL","EPRC_TOTAL","EPRE_TOTAL","RKP_TOTAL","COBERTURA_CEK"
"1",1973,"B. Sin pago","ROA","Propia","(0.5,0.6]","[0,0.5]",1,288.23251,0,0,0,0
"2",1974,"B. Sin pago","REA","Propia","[0,0.1]","[0,0.5]",5,23748.64351794,0,0,0,0
"3",1975,"B. Sin pago","REA","Propia","[0,0.1]","[0,0.5]",4,19448.07217753,0,0,0,0
"4",1975,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",2,5176.09761777,0,0,0,0
"5",1975,"B. Sin pago","REA","Propia","(0.4,0.5]","[0,0.5]",1,859.28840666,0,0,0,0
"6",1975,"B. Sin pago","ROA","Propia","[0,0.1]","[0,0.5]",1,5072.90638323,0,0,0,0
"7",1975,"B. Sin pago","ROA","Propia","(0.1,0.2]","[0,0.5]",1,3395.08098783,0,0,0,0
"8",1976,"B. Sin pago","REA","Propia","[0,0.1]","[0,0.5]",19,85496.85536352,0,0,0,0
"9",1976,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",20,81407.15001864,0,0,0,0
"10",1976,"B. Sin pago","REA","Propia","(0.2,0.3]","[0,0.5]",3,6706.67566744,0,0,0,0
"11",1976,"B. Sin pago","REA","Propia","(0.4,0.5]","[0,0.5]",1,1040.83252333,0,0,0,0
"12",1976,"B. Sin pago","ROA","Propia","[0,0.1]","[0,0.5]",5,23362.33327745,0,0,0,0
"13",1976,"B. Sin pago","ROA","Propia","(0.1,0.2]","[0,0.5]",6,24820.82847009,0,0,0,0
"14",1976,"D. Amortización parcial","ROA","Propia","(0.3,0.4]","[0,0.5]",1,1206.79308333,0,0,0,0
"15",1977,"B. Sin pago","REA","Propia","[0,0.1]","[0,0.5]",7,31931.33611747,0,0,0,0
"16",1977,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",37,177327.42742083,0,0,0,0
"17",1977,"B. Sin pago","REA","Propia","(0.2,0.3]","[0,0.5]",2,9253.92430277,0,0,0,0
"18",1977,"B. Sin pago","REA","Propia","(0.7,0.8]","[0,0.5]",1,645.44408889,0,0,0,0
"19",1977,"B. Sin pago","ROA","Propia","(0.1,0.2]","[0,0.5]",8,36417.20010044,0,0,0,0
"20",1978,"B. Sin pago","REA","Propia","[0,0.1]","[0,0.5]",1,472305.39817441,0,0,0,0
"21",1978,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",19,92740.59838969,0,0,0,0
"22",1978,"B. Sin pago","REA","Propia","(0.2,0.3]","[0,0.5]",4,11264.17422111,0,0,0,0
"23",1978,"B. Sin pago","REA","Propia","(0.4,0.5]","[0,0.5]",1,1628.18658333,0,0,0,0
"24",1978,"B. Sin pago","REA","Propia","(0.7,0.8]","[0,0.5]",4,400834.75830112,0,0,0,0
"25",1978,"B. Sin pago","ROA","Propia","(0.1,0.2]","[0,0.5]",7,34291.38843263,0,0,0,0
"26",1978,"B. Sin pago","ROA","Propia","(0.2,0.3]","[0,0.5]",1,2664.91216444,0,0,0,0
"27",1979,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",2,9879.47952,0,0,0,0
"28",1979,"B. Sin pago","REA","Propia","(0.2,0.3]","[0,0.5]",1,5560.48611333,0,0,0,0
"29",1979,"B. Sin pago","REA","Propia","(0.7,0.8]","[0,0.5]",1,98324.07067667,0,0,0,0
"30",1979,"B. Sin pago","ROA","Propia","(0.1,0.2]","[0,0.5]",3,14149.32294248,0,0,0,0
"31",1979,"B. Sin pago","ROA","Propia","(0.2,0.3]","[0,0.5]",2,8860.08400888,0,0,0,0
"32",1979,"B. Sin pago","ROA","Propia","(0.5,0.6]","[0,0.5]",1,1678.44605797,0,0,0,0
"33",1980,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",13,67360.75740675,0,0,0,0
"34",1980,"B. Sin pago","REA","Propia","(0.2,0.3]","[0,0.5]",3,15562.65154333,0,0,0,0
"35",1980,"B. Sin pago","REA","Propia","(0.3,0.4]","[0,0.5]",2,4833.80192666,0,0,0,0
"36",1980,"B. Sin pago","REA","Propia","(0.5,0.6]","[0,0.5]",1,1962.56397222,0,0,0,0
"37",1980,"B. Sin pago","ROA","Propia","(0.1,0.2]","[0,0.5]",1,5131.34314667,0,0,0,0
"38",1980,"B. Sin pago","ROA","Propia","(0.2,0.3]","[0,0.5]",2,9312.62937111,0,0,0,0
"39",1980,"B. Sin pago","ROA","Propia","(0.5,0.6]","[0,0.5]",1,2416.60988961,0,0,0,0
"40",1980,"B. Sin pago","ROA","Propia","(0.8,0.9]","[0,0.5]",1,974.48888889,0,0,0,0
"41",1981,"B. Sin pago","REA","Propia","(0.1,0.2]","[0,0.5]",1,4501.47294,0,0,0,0
"42",1981,"B. Sin pago","REA","Propia","(0.2,0.3]","[0,0.5]",5,27318.00582855,0,0,0,0
"43",1981,"B. Sin pago","REA","Propia","(0.3,0.4]","[0,0.5]",3,17310.687889,0,0,0,0
"44",1981,"B. Sin pago","REA","Propia","(0.4,0.5]","[0,0.5]",1,2627.30020444,0,0,0,0
"45",1981,"B. Sin pago","REA","Propia","(0.5,0.6]","[0,0.5]",1,2883.94763425,0,0,0,0
"46",1981,"B. Sin pago","REA","Propia","(0.6,0.7]","[0,0.5]",1,19547.92741333,0,0,0,0
"47",1981,"B. Sin pago","ROA","Propia","(0.2,0.3]","[0,0.5]",4,22261.94471334,0,0,0,0
"48",1981,"B. Sin pago","ROA","Propia","(0.4,0.5]","[0,0.5]",1,2770.75057222,0,0,0,0
